SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
228;May 22, 2003 05:00 AM;86.31;36.15;28.94;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 22, 2003 03:00 AM;43.07;28.74;6.4;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 22, 2003 01:00 AM;15.8;12.43;1.08;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 22, 2003 12:00 AM;16.64;12.1;1.92;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 21, 2003 08:00 PM;61.79;26.63;20.24;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 21, 2003 02:00 PM;252.96;62.68;117.36;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 19, 2003 12:00 PM;124.93;48.2;44.95;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 19, 2003 11:00 AM;127.75;48.43;46.57;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 19, 2003 09:00 AM;162.83;55.03;64.45;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 18, 2003 10:00 PM;29.12;16.3;6.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 18, 2003 07:00 PM;75.51;28.54;27.73;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 18, 2003 03:00 PM;83.1;30.46;31.26;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 18, 2003 03:00 AM;26.2;14.2;6.51;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 17, 2003 09:00 PM;53.36;22.95;17.6;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 17, 2003 07:00 PM;76.19;35.14;23.07;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 17, 2003 09:00 AM;256.33;62.68;119.63;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 17, 2003 05:00 AM;114.76;41.31;43.56;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 16, 2003 04:00 PM;581.04;97.34;305.01;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 16, 2003 02:00 PM;372.44;86.78;176.87;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 16, 2003 12:00 AM;90.36;44.94;24.87;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 11:00 PM;101.83;43.7;33.24;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 10:00 PM;133.03;53.5;46.16;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 09:00 PM;163.84;60.63;60.74;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 02:00 PM;313.85;83.48;141.19;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 12:00 PM;371.99;95.39;169.97;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 15, 2003 11:00 AM;327.01;92.47;142.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 14, 2003 05:00 PM;153.55;59.38;55.05;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 14, 2003 03:00 PM;154.34;56.66;57.62;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 14, 2003 10:00 AM;179.08;62.92;68.97;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 14, 2003 12:00 AM;26.37;15.01;6.03;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 13, 2003 03:00 AM;84.03;33.9;30.49;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 13, 2003 02:00 AM;57.67;30.36;16.0;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 12, 2003 10:00 PM;49.01;25.48;14.09;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 12, 2003 01:00 PM;110.95;46.43;38.45;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 12, 2003 07:00 AM;220.5;61.39;98.52;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 11, 2003 02:00 PM;144.0;46.43;59.88;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 11, 2003 02:00 AM;112.64;44.7;40.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 10, 2003 09:00 AM;334.83;76.64;161.37;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 10, 2003 04:00 AM;140.57;44.37;59.33;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 10, 2003 01:00 AM;45.7;23.48;13.43;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 08, 2003 09:00 PM;135.74;53.84;48.87;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;May 08, 2003 01:00 PM;198.41;67.61;79.25;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
